True,annotation_count,api_path,full_title,header_image_thumbnail_url,header_image_url,id,lyrics_owner_id,lyrics_state,path,primary_artist,pyongs_count,song_art_image_thumbnail_url,stats,title,title_with_featured,url,Lyrics,concurrents,hot,pageviews,unreviewed_annotations,api_path,header_image_url,id,image_url,iq,is_meme_verified,is_verified,name,url
0,31.0,/songs/2841610,Nikes by Frank Ocean (Ft. KOHH),https://images.genius.com/2a7808470566538038ee8e5c9169d8cc.300x168x1.jpg,https://images.genius.com/2a7808470566538038ee8e5c9169d8cc.800x447x1.jpg,2841610.0,1507505.0,complete,/Frank-ocean-nikes-lyrics,"{'api_path': '/artists/1985', 'header_image_url': 'https://images.genius.com/31a4b0b89a988ed7fff5beb83808ab56.1000x562x1.jpg', 'id': 1985, 'image_url': 'https://images.genius.com/78a9a1403027e5778b473c71204b1ac0.728x728x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Frank Ocean', 'url': 'https://genius.com/artists/Frank-ocean', 'iq': 5468}",177.0,https://images.genius.com/ccc0894094b9a3cbb47a45ec0c69b1f0.300x300x1.jpg,"{'hot': False, 'unreviewed_annotations': 0, 'concurrents': 2, 'pageviews': 1405145}",Nikes,Nikes (Ft. KOHH),https://genius.com/Frank-ocean-nikes-lyrics,"[Verse 1: Frank Ocean]
These bitches want Nikes
They looking for a check
Tell 'em it ain’t likely
Said she need a ring like Carmelo
It must be on that white like Othello
All you want is Nikes
But the real ones just like you, just like me
I don't play, I don't make time
But if you need dick I got you
And I yam from the line
Pour up for A$AP, R.I.P. Pimp C
RIP Trayvon, that nigga look just like me
Woo, fuckin’ buzzin', woo!
That my little cousin, he got a little trade
His girl keep the scales, a little mermaid
We out by the pool, some little mermaids
Me and them gel
Like twigs with them bangs
Now that's a real mermaid
You been holding your breath, weighted down
Punk madre, punk papa
He don't care for me, but he cares for me
And that's good enough
We don't talk much or nothin'
But when we talkin' about something
We have good discussion
I met his friends last week
Feels like they’re up to something
That’s good for us

[Verse 2: Frank Ocean]
We'll let you guys prophesy
We’ll let you guys prophesy
We gon' see the future first
We'll let you guys prophesy
We gon' see the future first
Living so the last night feels like a past life
Speaking of the, don’t know what got into people
Devil be possessin' homies
Demons try to body jump
Why you think I'm in this bitch wearing a fucking Yarmulke?
Acid on me like the rain
Weed crumbles into glitter
Rain, glitter
We laid out on this wet floor
Away turf, no Astro
Mesmerized how the strobes glow
Look at all the people feet dance
I know that your nigga came with you
But he ain't with you
We only human and it's humid in these Balmains
I mean my balls sticking to my jeans
We breathin' pheremones, Amber Rose
Sippin' pink-gold lemonades
Feelin'

[Bridge: Frank Ocean]
I may be younger but I'll look after you
We're not in love but I'll make love to you
When you're not here I'll save some for you
I'm not him but I'll mean something to you
I'll mean something to you
I'll mean something to you
You got a roommate, he'll hear what we do
It's only awkward if you're fucking him too

[Verse 3: KOHH]
一人の男
たくさんかわいい女の子
誰かのことを 誰も縛れはしない
他人の心
まあ、飲みたいならお酒でも飲もう（ふぉ）
彼女がいたり、彼氏がいたり
気の合っちゃう人間２人
しょうがない
男たちと 女たち
去るもの追わず
来るもの選ぶ
それだけの話
今しかない時間
大事にしな
何億万人も
いい人ならいるよ
あの子がまたモデルの子に嫉妬
でも好きなら好き
無理なら無理だし
次から次に （次に）
類が友を呼んでくれるいつも （類が友を呼ぶ）
たまには離れてみるのも必要 （必要…必要…）
自由にする まるでパリスヒルトン (パリスヒルトン)",2.0,False,1405145.0,0,/artists/1985,https://images.genius.com/31a4b0b89a988ed7fff5beb83808ab56.1000x562x1.jpg,1985,https://images.genius.com/78a9a1403027e5778b473c71204b1ac0.728x728x1.jpg,5468.0,True,True,Frank Ocean,https://genius.com/artists/Frank-ocean
1,0.0,/songs/2959888,12/12 Songs by Brock Chenier,https://images.genius.com/931639ab2f8d2909de6d55f984009e1c.300x300x1.jpg,https://images.genius.com/931639ab2f8d2909de6d55f984009e1c.720x720x1.jpg,2959888.0,172611.0,complete,/Brock-chenier-12-12-songs-annotated,"{'api_path': '/artists/4021', 'header_image_url': 'https://images.genius.com/931639ab2f8d2909de6d55f984009e1c.720x720x1.jpg', 'id': 4021, 'image_url': 'https://images.genius.com/931639ab2f8d2909de6d55f984009e1c.720x720x1.jpg', 'is_meme_verified': False, 'is_verified': False, 'name': 'Brock Chenier', 'url': 'https://genius.com/artists/Brock-chenier', 'iq': 168416}",,https://images.genius.com/931639ab2f8d2909de6d55f984009e1c.300x300x1.jpg,"{'hot': False, 'unreviewed_annotations': 0}",12/12 Songs,12/12 Songs,https://genius.com/Brock-chenier-12-12-songs-annotated,"AAlex Turner - ""Stuck on the Puzzle""
Allan Kingdom - ""I Feel Ya""
Alt-J - ""Breezeblocks""
American Football - ""Never Meant""
Animal Collective - ""Banshee Beat""
The Antlers - ""In The Snow""
The Antlers - ""Kettering""
The Antlers - ""Putting The Dog To Sleep""
The Antlers - ""Wake""
Arctic Monkeys - ""Cornerstone""
Arctic Monkeys - ""Flourescent Adolescent""
Arctic Monkeys - ""Riot Van""
A$AP Rocky - ""1Train"" ft. Kendrick Lamar, Joey Bada$$, Yelawolf, Danny Brown, Action Bronson, & Big K.R.I.T.
BBeach House - ""Gila""
Beach House - ""Other People""
Beach House - ""Sparks""
The Beatles - ""A Day In The Life""
The Beatles - ""Happiness Is A Warm Gun""
The Beatles - ""I'm So Tired""
The Beatles - ""In My Life""
The Beatles - ""Oh! Darling""
Bob Dylan - ""Moonshiner""
Bob Dylan - ""Stuck Inside of Mobile with the Memphis Blues Again""
Bon Iver - ""29 #Strafford APTS""
Bon Iver - ""Holocene""
Bon Iver - ""Re: Stacks""
Bon Iver - ""The Wolves (Act I and II)""
Broken Social Scene - ""Anthems for a Seventeen Year Old Girl""
Broken Social Scene - ""Lover's Spit""
CChance The Rapper - ""Acid Rain""
Chance The Rapper - ""Summer Friends"" ft. Jeremih & Francis & the Lights
Chief Keef - ""Love Sosa""
Childish Gambino - ""Redbone""
Cigarettes After Sex - ""K.""
Cigarettes After Sex - ""Keep On Loving You""
Cloud Nothings - ""Enter Entirely""
Cloud Nothings - ""I'm Not Part of Me""
DD'Angelo & The Vanguard - ""Really Love""
Daft Punk - ""Instant Crush""
David Bowie - ""Five Years""
David Bowie - ""Life On Mars""
David Bowie - ""Oh! You Pretty Things""
David Bowie - ""Soul Love""
Destroyer - ""Painter In Your Pocket""
Drake - ""Shot For Me""
EEarl Sweatshirt - ""Chum""
Earl Sweatshirt - ""Hive"" ft. Casey Veggies & Vince Staples
Earl Sweatshirt - ""Sunday"" ft. Frank Ocean
FFaces - ""Ooh La La""
Fleet Foxes - ""Helplessness Blues""
Foxing - ""The Medic""
Frank Ocean - ""Ivy""
Frank Ocean - ""Nikes""
Frank Ocean - ""Pilot Jones""
Frank Ocean - ""Provider""
Frank Ocean - ""Pyramids""
Frank Ocean - ""Self Control""
Frank Ocean - ""Thinkin Bout You""
Freddie Gibbs - ""Fuckin' Up The Count""
Future - ""March Madness""
Future - ""News Or Somthn""
GGlass Animals - ""Agnes""
Grimes - ""OBLIVION""
Grimes - ""Flesh Without Blood""
Grouper - ""Clearing""
HThe Hotelier - ""An Introduction to the Album""
The Hotelier - ""Your Deep Rest""
IIron & Wine - ""Fever Dream""
Iron & Wine - ""The Trapeze Swinger""
JJames Blake - ""Retrograde""
James Vincent McMorrow - ""If I Had A Boat""
Jimi Hendrix - ""Castles Made of Sand""
Joanna Newsom - ""On A Good Day""
Joey Bada$$ - ""Survival Tactics"" ft. Capital Steez
Julian Casablancas + The Voidz - ""Human Sadness""
KKanye West - ""Christmas In Harlem""
Kanye West - ""Family Business""
Kanye West - ""Hold My Liquor""
Kanye West - ""Real Friends""
Kanye West - ""Runaway""
Kendrick Lamar - ""Cartoon & Cereal"" ft. Gunplay
Kendrick Lamar - ""Money Trees"" ft. Jay Rock
Kendrick Lamar - ""Untitled 02 | 06.23.2014.""
Kendrick Lamar - ""u""
King Krule - ""Easy Easy""
The Kinks - ""Strangers""
The Kinks - ""This Time Tomorrow""
LLCD Soundsystem - ""All My Friends""
Led Zeppelin - ""Tangerine""
Lil Wayne - ""Playing With Fire""
Local Natives - ""Columbia""
MM83 - ""Midnight City""
Majical Cloudz - ""Downtown""
Makthaverskan - ""Asleep""
Mitski - ""Your Best American Girl""
Modern Baseball - ""@chl03k""
Morrissey - ""Speedway""
My Bloody Valentine - ""Sometimes""
NThe National - ""All The Wine""
The National - ""Runaway""
Neutral Milk Hotel - ""Communist Daughter""
Neutral Milk Hotel - ""In The Aeroplane Over The Sea""
OOught - ""Beautiful Blue Sky""
Ought - ""Habit""
Ought - ""Pill""
PPearl Jam - ""Yellow Ledbetter""
Peter Frampton - ""Do You Feel Like We Do (Live)""
Phosphorescent - ""Song For Zula""
Pinegrove - ""Aphasia""
Pinegrove - ""Cadmium""
Pinegrove - ""Old Friends""
Pixies - ""Hey""
Pixies - ""Where Is My Mind?""
Prince - ""I Wanna Be Your Lover""
Prince - ""It's Gonna Be Lonely""
Prince - ""Little Red Corvette""
Prince - ""Purple Rain""
Prince - ""The Beautiful Ones""
Pusha T - ""Exodus 23:1""
QRRadiohead - ""Fake Plastic Trees""
Radiohead - ""There, There""
The Rolling Stones - ""Beast of Burden""
The Rolling Stones - ""Moonlight Mile""
SSean Leon - ""Narcissus""
Sean Leon - ""Pretty Girls Put Boys In Cemeteries""
Shouting Matches - ""I Had A Real Good Lover""
Small Wonder - ""Until I Open My Wings""
The Smiths - ""Cemetery Gates""
Spoon - ""Inside Out""
The Strokes - ""12:51""
The Strokes - ""Chances""
The Strokes - ""Last Nite""
The Strokes - ""Razorblade""
Sufjan Stevens - ""Chicago""
Sufjan Stevens - ""Concerning the UFO sighting near Highland, Illinois""
Sufjan Stevens - ""Fourth of July""
Sufjan Stevens - ""Futile Devices""
Sufjan Stevens - ""The Predatory Wasp of the Palisades Is Out To Get Us""
Sufjan Stevens - ""Redford""
Sufjan Stevens - ""Romulus""
Sylvan Esso - ""Coffee""
TTalking Heads - ""Once In A Lifetime""
Talking Heads - ""This Must Be The Place (Naive Melody)""
The Tallest Man On Earth - ""The Dreamer""
The Tallest Man On Earth - ""You're Going Back""
Television - ""Marquee Moon""
Tracy Chapman - ""Fast Car""
Travis Scott - ""Drugs You Should Try It""
Twin Peaks - ""I Found A New Way""
Twin Peaks - ""Making Breakfast""
Twin Peaks - ""Wanted You""
UVVampire Weekend - ""Don't Lie""
Vampire Weekend - ""Everlasting Arms""
Vampire Weekend - ""Hannah Hunt""
Vampire Weekend - ""Walcott""
Van Morrison - ""Cyprus Avenue""
The Velvet Underground & Nico - ""Heroin""
Volcano Choir - ""Alaskans""
Volcano Choir - ""Byegone""
WThe Weeknd - ""Loft Music""
The Who - ""Baba O'Riley""
Wilco - ""Hate It Here""
WZRD - ""Teleport 2 Me, Jamie""
XThe xx - ""Intro""
The xx - ""VCR""
YZ",,False,,0,/artists/4021,https://images.genius.com/931639ab2f8d2909de6d55f984009e1c.720x720x1.jpg,4021,https://images.genius.com/931639ab2f8d2909de6d55f984009e1c.720x720x1.jpg,168416.0,False,False,Brock Chenier,https://genius.com/artists/Brock-chenier
2,122.0,/songs/2958910,"Die Lieblingsopener der Community by Genius Deutschland (Ft. Genius Österreich, Pop Genius Deutschland, Rap Genius Deutschland & Rock Genius Deutschland)",https://images.genius.com/1f6ea2cd97ae961dc1c54c63da924cc6.300x300x1.png,https://images.genius.com/1f6ea2cd97ae961dc1c54c63da924cc6.1000x1000x1.png,2958910.0,2224464.0,complete,/Genius-deutschland-die-lieblingsopener-der-community-annotated,"{'api_path': '/artists/211115', 'header_image_url': 'https://images.genius.com/84cc3d01a49c09fe0e40fc9ab1dbbdd9.1000x495x1.png', 'id': 211115, 'image_url': 'https://images.genius.com/4db59fc1a4acd8868fa22e0ba62a4143.400x400x1.jpg', 'is_meme_verified': False, 'is_verified': True, 'name': 'Genius Deutschland', 'url': 'https://genius.com/artists/Genius-deutschland', 'iq': 19771}",1,https://images.genius.com/1f6ea2cd97ae961dc1c54c63da924cc6.300x300x1.png,"{'hot': False, 'unreviewed_annotations': 0}",Die Lieblingsopener der Community,"Die Lieblingsopener der Community (Ft. Genius Österreich, Pop Genius Deutschland, Rap Genius Deutschland & Rock Genius Deutschland)",https://genius.com/Genius-deutschland-die-lieblingsopener-der-community-annotated,"Bitte wirklich nur 10 Tracks auswählen. Danke!Timepa1ace● Kendrick Lamar - Wesley's Theory
● Alligatoah - Hört, Hört
● K.I.Z. - Geld Essen (Ausgestopfte Rapper)
● Florence + the Machine - Only If For A Night
● Alligatoah - Komm Hau Ab
● Casper - Im Ascheregen
● Abba - Super Trouper
● Lin-Manuel Miranda - Alexander Hamilton
● K.I.Z. - Intro (Böhse Enkelz)
● Alligatoah - Singing In The Rain
RapYeezus● Tua - Es regnet
● Casper - Der Druck steigt/Blut sehen
● Shindy - Julius Caesar
● Kanye West - Good Morning
● Goldroger - .hi-phi
● NMZS - Intro (Der Ekelhafte)
● Peter Fox - Alles neu
● Chakuza - Ich lauf
● Prinz Pi - Donnerwetter
● Marteria - Endboss
VwieVeteran● Haftbefehl - Ihr Hurensöhne
● Inglebirds - Intro
● Jay Z & Kanye West - No Church In The Wild
● Sonny Black & Frank White - Intro (CCN1 / CCN2)
● K.I.Z. - Wir
● Genetikk - Bananas & Cash
● DCVDNS - Outro/Intro
● Alligatoah - Hört, Hört
● Selfmade Records - Mittelfinger Hoch
● Farid Bang - Intro (Der letzte Tag deines Lebens)

Vox Dark:● Alligatoah - Hört, Hört
● K.I.Z. - Wir
● Fettes Brot - Wie Immer
● Gozpel - Intro
● Kool Savas - Interlude
● Audio88 & Yassin - Das Gleiche wie immer, bitte...
● Punch Arogunz - Willkommen zurück
● SSIO - Vorspiel
● Umse - Titelblatt
● Samy Deluxe - Vorwort
Draconicon/Drachenflamme● Cr7z - Melodie
● Casper - Im Ascheregen
● Kool Savas - Interlude
● Jinx - Stealth
● Kaynbock & Montez - Logbuch
● Absztrakkt - Abszflowsz
● Absztrakkt & Snowgoons - Bodhiguard
● Cr7z - Weisser Sand
● Weekend - Zurück dahin
● Cr7z - Rean7mation
K_Racho● Kool Savas - Intro (Der beste Tag meines Lebens)
● Chakuza - Ich lauf
● Curse - Zehn Rap Gesetze
● Xatar - Baba aller Babas im Land
● K.I.Z - Wir
● MoTrip - Kennen
● Prinz Pi - Bombenwetter
● Chakuza & Raf Camora - Intro (Zodiak)
● CunninLynguists - Predormitum (Prologue)
● Evidence - I know
TheVelvet● Prezident- Shub Niggurath
PatrykFakker● Prinz Pi - Bombenwetter
● Shindy - Arbeit ist out
● Sierra Kidd - Sierra
● Lance Butters - Blaow
● RAF Camora - Intro (Therapie nach dem Album)
● RAF Camora - Intro (Die Schwarze EP)
● Nazar & RAF Camora - Ouverture
● Bushido - Intro (King of Kingz)
● Prezident - Der ewige Ikea
● Cro - Intro (I can feel it)
SinaTheQueen● eRRdeKa - Stroboskop
● Prinz Pi feat. E-Rich - Behutsame Einführung
● Marina & The Diamonds - Happy
● Gerard - Blausicht (Intro)
● Casper - Im Ascheregen
● Antilopen Gang - DIE KYNGZ SIND BACK!!!1
● Chvrches - Never ending circles
● Curse - Tatooine
● Florence + The Machine - Only if for a night
● Cr7z - Weißer Sand
● Miley Cyrus - Breakout
Memento● Casper - Hin zur Sonne
● Stick to your Guns - Diamond
● Prinz Pi – Behutsame Einführung
● We Came As Romans - Tracing Back Roots
● Frauenarzt - KKF
● Blink 182 - Cynical
● Zugezogen Maskulin - Alles brennt
● Oasis - Hello
● Gerard - Blausicht
● Rise Against - Collapse
● Nirvana - Smells Like Teen Spirit
Haituga● Crown the Empire - Oh, Catastrophe/The Fallout
● Linkin Park - Papercut
● Beginner - Ahnma
● Sido - Hier bin ich wieder!
● Zugezogen Maskulin - Alles brennt
● 3plusss - Auf der Stelle
● Kollegah - Alpha
● Edgar Wasser - Intro/Bad Boy
● Get Scared - Told ya so
● DAT ADAM - DFA
floschi● Gzuz & Bonez MC - Intro (High & Hungrig 2)
● Aggro Berlin - Intro (Aggro Ansage 1)
● Bushido - Intro (Electro Ghetto)
● Bushido - Fotzen
● Bushido & Shindy - Brot brechen
● Celo & Abdi - Kickstart
● Celo & Abdi - Das ist der Anfang
● Haftbefehl - Ja Ja Ve Ve
● Olexesh - Nitro
● Vega & Bosca - AntiCops
DerHeuser●Vega - KAOS
● Prinz Pi - Bombenwetter
● Trailerpark - Sexualethisch desorientiert
● KIZ - Wir
● Casper- Der Druck steigt
● Kool Savas - Intro/ Der letzte seiner Gattung
● Prinz Pi - Behutsame Einführung
● Errdeka - Stroboskop
● Vega - Intro
● Prinz Pi - Wolken vor dem Mund
RGJason● Farid Bang & Kollegah - Dynamit
● Red Hot Chili Peppers - Dani California
● Bushido - Electrofaust
● K.I.Z. - Wir
● Farid Bang - Intro (Der letzte Tag deines Lebens)
● Kollegah - Alpha
● Bushido - Intro (VDSZBZ)
● 187 Strassenbande - Intro (Der Sampler 3)
● K.I.Z. - Küss mir den Schwanz
● Shindy - Julius Caesar
RapAppreciator● Sonny Black & Frank White - Intro, Electro, Ghetto
● Drake - Legend
● Kendrick Lamar - Wesley's Theory
● Kollegah - Eure Hoheit
● Frank White - Intro / Ich mach Realtalk
● Holy Modee & Morten - euer vs. ehren
● SSIO - Vorspiel
● Mauli - Alles gut
● System of a Down - Prison Song
● Kollegah - Intro (Boss der Bosse)
AlStone● Bushido - Intro (VBZSZ)
● Sonny Black & Frank White - Intro, Electro, Ghetto
● SSIO - Vorspiel
● Fler (Frank White) - Gangster Frank White
● Ali As - Amnesia
● Genetikk - Foetus
● Olexesh - Intro (Nu Eta Da)
● Shindy - Arbeit ist out
● Bushido - Fotzen
● Celo & Abdi - Intro (Hinterhofjargon)
Kingmatic● Drake: Tuscan Leather
● Royce da 5'9"": Tabernacle
● Drake: Legend
● J. Cole: Intro (Forrest Hills Drive 2014)
● Nas: Get Down
● Jay-Z & Kanye West: No Church in the Wild
● KC Rebell: Ghetto Aristoteles
● The Weeknd: Real Life
● Kollegah: Eure Hoheit
● Killer Mike: Big Beast (feat. Bun B, T.I., Trouble)
DeathRizzow● N.W.A - Straight Outta Compton
● N.W.A - Prelude
● Mobb Deep - The Start Of Your Ending (41st Side)
● Eazy-E - Exxtra Special Thankz
● Dr. Dre - The Chronic Intro
● 2Pac - Ambitionz Az A Ridah
● Drake & Future - Digital Dash
● Fler - Vibe
● Booba - Walabok
EPSYLON
Peter Fox - Alles Neu
Big Sean - Intro (& Light)
Logic - Grandpa's Space Ship
Childish Gambino - Sober
Jaden Smith - B L U E
airforcescott● Nikes - Frank Ocean
● ICE BOY - Corbin
● Eine Geschichte - Drangsal
● Interlude - DISSY
● Ultralight Beam - Kanye West
● Pornography - Travis Scott
● It's Thunder And It's Lightning - We Were Promised Jetpacks
● Foreword - Tyler, The Creator
● Der Druck steigt - Casper",,False,,0,/artists/211115,https://images.genius.com/84cc3d01a49c09fe0e40fc9ab1dbbdd9.1000x495x1.png,211115,https://images.genius.com/4db59fc1a4acd8868fa22e0ba62a4143.400x400x1.jpg,19771.0,False,True,Genius Deutschland,https://genius.com/artists/Genius-deutschland
3,0.0,/songs/2949742,SOTY List - 2016 by Drxw,https://images.genius.com/ccb4133a7685c5bba29ef6cbf9bb760b.300x300x1.png,https://images.genius.com/ccb4133a7685c5bba29ef6cbf9bb760b.836x836x1.png,2949742.0,421409.0,complete,/Drxw-soty-list-2016-lyrics,"{'api_path': '/artists/332506', 'header_image_url': 'https://images.genius.com/0777fae97db5098ad31722700d407759.1000x625x1.jpg', 'id': 332506, 'image_url': 'https://images.genius.com/ccb4133a7685c5bba29ef6cbf9bb760b.836x836x1.png', 'is_meme_verified': False, 'is_verified': False, 'name': 'Drxw', 'url': 'https://genius.com/artists/Drxw', 'iq': 38031}",1,https://images.genius.com/ccb4133a7685c5bba29ef6cbf9bb760b.300x300x1.png,"{'hot': False, 'unreviewed_annotations': 0}",SOTY List - 2016,SOTY List - 2016,https://genius.com/Drxw-soty-list-2016-lyrics,"*Will be edited soon*

Songs:
1. Nikes - Frank Ocean
2. I Feel It Coming - The Weeknd
-  THat Part - ScHoolboy Q
-  Redbone - Childish Gambino
-  Father Stretch My Hands Pt. 1 - Kanye West
- Ultralight Beam - Kanye West
- Self Control - Frank Ocean
- Pink & White - Frank Ocean",,False,,0,/artists/332506,https://images.genius.com/0777fae97db5098ad31722700d407759.1000x625x1.jpg,332506,https://images.genius.com/ccb4133a7685c5bba29ef6cbf9bb760b.836x836x1.png,38031.0,False,False,Drxw,https://genius.com/artists/Drxw
4,32.0,/songs/2843578,Nikes (Video Version) by Frank Ocean,https://images.genius.com/a75da9eceef1f728ed0739cc936b7a7e.300x136x1.png,https://images.genius.com/a75da9eceef1f728ed0739cc936b7a7e.1000x453x1.png,2843578.0,1507505.0,complete,/Frank-ocean-nikes-video-version-lyrics,"{'api_path': '/artists/1985', 'header_image_url': 'https://images.genius.com/31a4b0b89a988ed7fff5beb83808ab56.1000x562x1.jpg', 'id': 1985, 'image_url': 'https://images.genius.com/78a9a1403027e5778b473c71204b1ac0.728x728x1.jpg', 'is_meme_verified': True, 'is_verified': True, 'name': 'Frank Ocean', 'url': 'https://genius.com/artists/Frank-ocean', 'iq': 5468}",7,https://images.genius.com/a75da9eceef1f728ed0739cc936b7a7e.300x136x1.png,"{'hot': False, 'unreviewed_annotations': 0, 'pageviews': 21550}",Nikes (Video Version),Nikes (Video Version),https://genius.com/Frank-ocean-nikes-video-version-lyrics,"[Intro]
Special shoutout to the icon dynasty, Slip-N-Slide Records
I got two versions, I got two versions, I got two versions

[Hook]
These bitches want Nikes (This is a setup)
They looking for a check (Oh my god)
Tell em it ain't likely (This bitch tryna set me up)
Said she need a ring like Carmelo (Hands up, oh my god)
Must be on that white like Othello (Oh my, it’s a real life angel)
All you want is Nikes (Yeah)
But the real ones just like you (Tell these niggas)
Just like me (Tell these guys you ain't basic)

[Verse 1]
I don't play, I don’t make time
(Tell these guys you wear Zanottis, you a hottie, this is heaven on earth)
But if you need dick I got you and I yam from the line
(But if you're in the party don't bring your shotty
Love everybody)
Pour up for A$AP (rest in peace)
RIP Pimp C (rest in peace)
RIP Trayvon, that nigga look just like me
Woo, fuckin' buzzin', woo!
(Remember one thing, remember one thing: don't take no photos in the party)
That my little cousin, he got a little trade
His girl keep the scales, a little mermaid
(That's rule number one
Rule number two: don't take no photos in the party)
We out by the pool, some little mermaids
Me and them gel
Like twigs with them bangs
(Rule number three: I got one left)
Now that’s a real mermaid
You been holding your breath
Weighted down
(If you in the-)
Punk madre, punk papa
(If you couldn’t get to the-, go your ass to sleep, we in the-)
He don't care for me
(Special shoutout to them live niggas at Rap-A-Lot records)
But he cares for me
(We keep it hot)
And that’s good enough
(I've been working on my bod, I feel hot)
We don't talk much or nothin'
(If we in the- holla at ya gwalla)
But when we talkin’ about something
(Oh my god, hold up)
We have good discussion
(Tell these basic bitches we don't wear Nike)
I met his friends last week, feels like they're up to something
(You guys are naughty, you a hottie, hold up)
That's good for us

[Verse 2]
We'll let you guys prophesy
We'll let you guys prophesy
We gon' see the future first
We'll let you guys prophesy
We gon' see the future first
Living so the last night feels like a past life
Speaking of the, don't know what got into people
Devil be possessin homies
Demons try to body jump
Why you think I'm in this bitch wearing a fucking Yarmulke
Acid on me like the rain
Weed crumbles into glitter
Rain, glitter
We laid out on this wet floor
Away turf, no Astro
Mesmerized how the strobes glow
Look at all the people feet dance
I know that your nigga came with you
But he ain't with you
We only human and it's humid in these Balmains
I mean my balls sticking in my jeans
We breathin pheremones, Amber Rose
Sippin' pink-gold lemonades
Feelin'

[Outro]
I may be younger but I'll look after you
We're not in love, but I'll make love to you
When you're not here I'll save some for you
I'm not him but I'll mean something to you
I'll mean something to you
I'll mean something to you
You got a roommate he'll hear what we do
It's only awkward if you're fucking him too",,False,21550.0,0,/artists/1985,https://images.genius.com/31a4b0b89a988ed7fff5beb83808ab56.1000x562x1.jpg,1985,https://images.genius.com/78a9a1403027e5778b473c71204b1ac0.728x728x1.jpg,5468.0,True,True,Frank Ocean,https://genius.com/artists/Frank-ocean
